Mean,Variance,Kurtosis,Condition
-0.00114329,0.009564566,2.91859939,Broken
0.000138991,0.009389669,1.002951843,Broken
-0.000499057,0.009427267,1.173283549,Broken
-0.000618704,0.01021213,1.152441888,Broken
0.000246725,0.00933656,1.257099854,Broken
-0.000685178,0.010312398,1.007635509,Broken
-0.000438878,0.011247179,0.849102471,Broken
-0.000459264,0.011208532,0.751214758,Broken
-0.000481129,0.011410749,0.888113855,Broken
-0.000743708,0.011139168,0.997532541,Broken
-0.000976679,0.010476089,0.872151398,Broken
-0.000466371,0.011275471,0.988606175,Broken
-0.00092374,0.010725516,0.958264167,Broken
-0.000816946,0.010566448,0.809057358,Broken
-0.00065567,0.011024044,0.841123442,Broken
-0.001114748,0.010610266,0.880389827,Broken
-0.000847703,0.01056036,0.90492207,Broken
-0.000850611,0.010493271,0.931828225,Broken
-0.001311899,0.011065091,0.911212118,Broken
-0.001511695,0.010761435,0.90309828,Broken
-0.001008926,0.011697081,0.731922941,Broken
-0.001450505,0.011193009,0.863346857,Broken
-0.001086387,0.010266652,1.074415961,Broken
-0.001005328,0.010486116,1.067570803,Broken
-0.001403975,0.010488952,0.916690234,Broken
-0.001353469,0.010207768,1.067387406,Broken
-0.0017364,0.009159633,1.180195248,Broken
-0.001684761,0.009167931,1.171937656,Broken
-0.001051761,0.009198632,1.329714959,Broken
-0.001028967,0.009190263,1.482166373,Broken
-0.000742151,0.009172315,1.416677399,Broken
-0.001106001,0.008870415,1.319420749,Broken
-0.000965815,0.009289129,1.368479538,Broken
0.000408097,0.009665181,1.304092911,Broken
0.000632631,0.011217056,0.842320106,Broken
0.000730647,0.01040689,1.135258161,Broken
0.001245699,0.010106753,1.255437481,Broken
0.000813939,0.01086297,0.941276148,Broken
0.001442562,0.011396305,0.986528081,Broken
0.001671722,0.011257076,0.724164932,Broken
0.000567363,0.010171321,1.096397595,Broken
0.000602249,0.008603062,1.168525997,Broken
3.18815E-05,0.009518429,1.30173311,Broken
5.65932E-05,0.009669627,1.383489418,Broken
5.66787E-05,0.009343992,1.213893113,Broken
-0.000635816,0.009255529,1.297868147,Broken
-0.000161707,0.009153069,1.264277023,Broken
-0.000318147,0.009123989,1.443095878,Broken
-0.00065472,0.009154311,1.5246762,Broken
-0.000624296,0.009488401,1.720788091,Broken
-0.000439262,0.009350387,1.595314802,Broken
-0.000332548,0.009044408,1.326525669,Broken
-0.00022012,0.008821908,1.210889548,Broken
-2.25849E-05,0.008833543,1.383091601,Broken
-0.000277001,0.008395456,1.361192673,Broken
-0.000351403,0.008905951,1.401866678,Broken
-0.000510811,0.008732873,1.441589213,Broken
-0.000209276,0.008837492,1.435901483,Broken
-1.94769E-05,0.0086094,1.424934495,Broken
-2.75012E-05,0.009785232,1.039655205,Broken
-0.000172776,0.009135528,1.265573519,Broken
-0.000441768,0.009090306,1.296441085,Broken
-2.73557E-05,0.009248404,1.585429685,Broken
-0.000559296,0.009187661,1.298894761,Broken
-0.000970078,0.009144633,1.642635583,Broken
-9.42039E-05,0.009157221,1.518349235,Broken
0.001069135,0.009201468,1.087247878,Broken
0.000379793,0.009339751,1.162274336,Broken
-4.53248E-05,0.009419997,1.207632607,Broken
-0.000619931,0.009165635,1.103874955,Broken
0.000225428,0.009520359,1.099787096,Broken
-0.000152559,0.008870948,0.962333529,Broken
0.000345475,0.009720105,0.998581219,Broken
0.000679134,0.009749848,1.004505773,Broken
0.00014449,0.009235202,1.02320008,Broken
0.000161992,0.009388465,1.098676314,Broken
6.47034E-05,0.009157245,1.327736432,Broken
-0.000726014,0.008659189,1.406807594,Broken
-0.000533667,0.008747141,1.228742208,Broken
-0.000860485,0.008871222,1.305677856,Broken
-0.000653265,0.009150408,1.074058279,Broken
-0.000712011,0.009049247,1.202441795,Broken
-0.000278807,0.009037617,1.333791597,Broken
-0.000438559,0.009002882,1.504473757,Broken
-0.000914073,0.00941915,1.245981165,Broken
-0.00026304,0.009781249,1.395827903,Broken
7.4772E-05,0.009252179,1.31318457,Broken
-0.000410096,0.009526763,1.171600664,Broken
-0.00074099,0.009181706,1.396648558,Broken
-0.000957436,0.008914976,1.671102413,Broken
-0.000253993,0.00916063,1.4780809,Broken
-0.000606944,0.009296497,1.447894878,Broken
-0.001284409,0.009532028,1.298381403,Broken
-0.00114899,0.009275854,1.393913044,Broken
-0.00033778,0.009369444,1.259793615,Broken
-0.000485643,0.009094285,1.548911822,Broken
-0.000104596,0.008725833,1.558056138,Broken
-0.000387379,0.009066712,1.370110698,Broken
-0.000849425,0.009673654,1.246235428,Broken
-0.000490214,0.009588818,1.185435615,Broken
-8.71598E-05,0.00145065,3.155712039,Healthy
0.000291246,0.001667664,1.763932236,Healthy
1.80582E-05,0.001611735,1.820630909,Healthy
-0.000207223,0.001668417,2.055209712,Healthy
4.76364E-05,0.001649634,1.916040459,Healthy
3.68107E-05,0.00144556,1.863343852,Healthy
-0.000290776,0.001750058,1.635118952,Healthy
0.000142753,0.002050824,1.591751105,Healthy
6.28388E-05,0.001715562,2.02997876,Healthy
-6.49667E-05,0.001582277,1.867413509,Healthy
0.000117709,0.001946607,1.584603317,Healthy
9.44012E-05,0.001722425,1.952476104,Healthy
-0.000285532,0.001470683,2.075053904,Healthy
-0.000240235,0.001522941,1.777113432,Healthy
-1.32115E-05,0.001628672,1.929616159,Healthy
-5.67204E-05,0.00148195,1.874001001,Healthy
-4.01988E-05,0.001775178,1.930675328,Healthy
-0.000237984,0.001776573,1.885198668,Healthy
7.16993E-06,0.001645635,1.740197665,Healthy
-0.000212454,0.001726138,1.874494082,Healthy
-3.18578E-05,0.00191351,1.62639146,Healthy
0.000121806,0.001960501,1.45821665,Healthy
6.96615E-05,0.00188368,1.457674991,Healthy
-0.000222312,0.001851243,1.383812061,Healthy
1.03541E-05,0.001769437,1.78741527,Healthy
-6.88061E-05,0.001757181,1.674036382,Healthy
-0.000227691,0.001749229,1.726868846,Healthy
-0.000230876,0.001713436,1.892413616,Healthy
-0.00025834,0.001700861,1.763541945,Healthy
2.06167E-05,0.001664522,1.752668407,Healthy
-0.000290199,0.001979309,1.563250678,Healthy
-3.99598E-05,0.00180286,1.565185323,Healthy
-0.000252057,0.00178372,1.820266376,Healthy
3.70259E-05,0.001720344,1.91181941,Healthy
5.18639E-05,0.001590041,2.022000109,Healthy
8.44803E-05,0.001465468,1.860807468,Healthy
-0.000309295,0.001664619,1.577602284,Healthy
-0.000347823,0.001914111,1.4980141,Healthy
0.00044634,0.001669137,1.441184282,Healthy
-0.000138665,0.00153909,1.762951896,Healthy
-0.000462138,0.001588163,1.749742292,Healthy
0.000489956,0.001547198,1.942090513,Healthy
-8.01534E-05,0.001556477,1.858759137,Healthy
0.000362708,0.001721213,1.523548275,Healthy
7.30689E-05,0.001598683,1.565554869,Healthy
2.82067E-05,0.002409458,1.601985878,Healthy
0.000141648,0.003424439,2.349544986,Healthy
6.46609E-05,0.009995086,1.032674108,Healthy
1.12217E-05,0.005448948,1.351496767,Healthy
0.000370432,0.002257072,1.829098531,Healthy
-0.000201383,0.005456537,1.141969097,Healthy
-0.000254676,0.002203519,1.785300368,Healthy
-0.000117474,0.001877117,1.277363178,Healthy
-6.24005E-05,0.004097665,1.522128269,Healthy
0.000151256,0.001784296,1.593831788,Healthy
-0.000284957,0.001706754,1.604737607,Healthy
9.62909E-06,0.002352956,1.434284529,Healthy
0.000102281,0.001652798,1.910297363,Healthy
5.25132E-05,0.001767787,1.534146917,Healthy
-6.72083E-05,0.002400144,1.27527972,Healthy
-0.000623088,0.002260822,1.635250724,Healthy
0.000617716,0.001977083,1.787196675,Healthy
-0.000247088,0.001746152,1.670011622,Healthy
0.000288322,0.001896462,1.340080852,Healthy
-0.000375112,0.001854848,1.61284886,Healthy
0.000210477,0.001901737,1.753067495,Healthy
0.000182221,0.001932344,1.805794747,Healthy
0.000176659,0.003290494,2.27174166,Healthy
-0.000347757,0.005599901,1.289350701,Healthy
0.000558197,0.002419023,1.261212249,Healthy
-3.13982E-05,0.001866076,1.677130943,Healthy
-0.000230827,0.001759291,1.630834648,Healthy
-0.000306917,0.001661183,2.161626472,Healthy
2.52572E-05,0.002283865,1.112308213,Healthy
-0.00022472,0.003287216,1.281067539,Healthy
0.000213151,0.002414479,1.927798687,Healthy
0.000237708,0.001955123,1.623582551,Healthy
-0.000200797,0.001865982,1.945284108,Healthy
3.12944E-05,0.001682383,1.898090221,Healthy
0.000504217,0.002435729,1.437675297,Healthy
0.000226481,0.002275005,1.572932151,Healthy
-0.000179651,0.002707231,1.594531387,Healthy
-0.000171305,0.002196128,1.391833837,Healthy
-6.75562E-05,0.003709021,0.795351359,Healthy
-0.000667825,0.003675117,1.538326216,Healthy
0.000255062,0.003838847,1.361028642,Healthy
-0.000101683,0.00232621,1.235150495,Healthy
0.00015996,0.00262863,1.21900508,Healthy
0.000329459,0.002996861,1.064952124,Healthy
0.000134117,0.002894625,1.042002752,Healthy
-1.14637E-05,0.003132223,1.167676996,Healthy
-9.91637E-05,0.002717203,1.244022012,Healthy
0.000230234,0.001938077,1.234159112,Healthy
-0.000524208,0.002056538,1.563646353,Healthy
0.000106804,0.002295508,1.59940946,Healthy
-6.12144E-05,0.00217921,1.775469229,Healthy
-3.0487E-05,0.001775793,1.944532006,Healthy
-0.000126001,0.001776982,1.917609306,Healthy
-6.96325E-05,0.001917398,1.742460286,Healthy
4.5825E-05,0.001849905,1.876082525,Healthy
-1.54295E-05,0.009410745,1.779878265,Broken
-0.000974778,0.009441754,0.704174975,Broken
0.001813246,0.008672506,0.583149411,Broken
0.002069833,0.008702272,0.409994403,Broken
0.001108963,0.009235711,0.628128388,Broken
0.000949702,0.009149283,0.354107305,Broken
0.001729237,0.009530658,0.459556003,Broken
0.002028339,0.009312659,0.512230096,Broken
0.00173445,0.009092676,0.193381472,Broken
0.002011581,0.009582556,0.170279871,Broken
0.001622963,0.010018449,0.2757025,Broken
0.001329127,0.009871103,0.35377484,Broken
0.001095566,0.00974271,0.486231481,Broken
0.000451396,0.009916338,0.32351916,Broken
0.00030704,0.009362048,0.461387586,Broken
0.001124047,0.009997503,0.289158747,Broken
0.002625892,0.009530596,0.152948432,Broken
0.001958547,0.008757148,0.335181602,Broken
0.001926222,0.009677131,0.350333776,Broken
-0.000231145,0.01052187,0.331488792,Broken
0.001226227,0.010249257,0.277116806,Broken
0.001036383,0.008764181,0.406058936,Broken
0.001884058,0.008726852,0.467113517,Broken
0.002209862,0.009178886,0.639364112,Broken
0.001325173,0.010185941,0.45520788,Broken
0.002152259,0.008575755,0.427034247,Broken
0.002514028,0.00911299,0.444708432,Broken
0.002661557,0.009636353,0.299656421,Broken
0.002437892,0.009949682,0.208787087,Broken
0.001768688,0.00908159,0.327475939,Broken
0.0001761,0.008724698,0.412148379,Broken
2.14436E-05,0.008724368,0.429126434,Broken
0.000955192,0.008691556,0.465981891,Broken
-0.000444403,0.009454706,0.398602587,Broken
-0.000603718,0.009041301,0.538664615,Broken
-0.000307547,0.009267951,0.507295961,Broken
0.0008602,0.009419259,0.499541549,Broken
-8.62691E-06,0.008844332,0.414867636,Broken
-9.84882E-06,0.008826996,0.358310776,Broken
0.000723579,0.009135454,0.279011834,Broken
0.001894054,0.009780952,0.236582031,Broken
0.001043839,0.009547995,0.241407935,Broken
0.001799761,0.009332527,0.309863893,Broken
0.001761203,0.008175331,0.271325518,Broken
0.002296198,0.008944755,0.172209582,Broken
0.001363766,0.008408968,0.26411462,Broken
0.000655593,0.009026609,0.258946564,Broken
0.000977592,0.009290824,0.240588734,Broken
6.17696E-05,0.009371851,0.295855948,Broken
9.77739E-05,0.009353149,0.324285513,Broken
0.000606574,0.009917906,0.239139687,Broken
0.000282607,0.009424768,0.404887202,Broken
-0.000520346,0.013936256,1.279997043,Broken
-0.000837503,0.007168234,0.545974477,Broken
-0.001011131,0.009353542,0.403630595,Broken
-0.001092338,0.009542516,0.361013591,Broken
0.000314026,0.009449958,0.413012127,Broken
0.001716291,0.00935648,0.424017645,Broken
0.001596321,0.008623886,0.254324618,Broken
0.001137395,0.009083475,0.4627071,Broken
-0.000819934,0.009966436,0.473878226,Broken
-0.000948114,0.009522763,0.548735962,Broken
-0.000606456,0.009998173,0.532924571,Broken
-0.000285926,0.009233718,0.523485065,Broken
-0.000545498,0.009073729,0.321035879,Broken
-0.001358736,0.009459096,0.409388968,Broken
-0.001892058,0.009077524,0.473744235,Broken
-0.000206168,0.008821971,0.545519848,Broken
0.002296191,0.009062693,0.475709791,Broken
0.001688676,0.008295657,0.45679029,Broken
0.000213177,0.009085668,0.865385114,Broken
-0.001440987,0.009361848,0.568216853,Broken
-0.000862592,0.009254116,0.721925757,Broken
-0.001382576,0.009404703,0.771589765,Broken
-0.000794042,0.008733773,0.721665007,Broken
-0.001894904,0.009182892,0.540234661,Broken
-0.001450527,0.009181178,0.506939451,Broken
0.000318555,0.009206101,0.700762021,Broken
-0.00080439,0.008748782,0.657024498,Broken
-0.001868082,0.00880127,0.748199288,Broken
-0.002297925,0.009213195,0.698456354,Broken
-0.002074525,0.009068876,0.584551282,Broken
-0.000957273,0.009189743,0.783310719,Broken
-0.003079774,0.008723372,0.745511711,Broken
-0.002260167,0.008994495,1.003588213,Broken
-0.002409082,0.009485934,0.988648532,Broken
-0.001136226,0.009353767,0.769118852,Broken
-0.000670658,0.009623268,0.598632303,Broken
-0.000535181,0.009398811,0.464479982,Broken
-0.000978633,0.009602625,0.601045619,Broken
-0.001412133,0.00938949,0.53470737,Broken
-0.000507598,0.00890087,0.620520742,Broken
-0.000770061,0.009142335,0.590520772,Broken
0.000336613,0.009065669,0.560215065,Broken
-0.000112274,0.009226872,0.624000219,Broken
-0.000570855,0.009039447,0.75132505,Broken
-0.001507515,0.009296082,0.879934364,Broken
-0.000636812,0.00988941,0.744136073,Broken
-0.000744016,0.01002349,0.678611017,Broken
-0.001660001,0.010647634,0.723363713,Broken
0.000129596,0.001166315,2.805040112,Healthy
-9.81212E-05,0.002216803,1.558294593,Healthy
0.000439494,0.00208715,1.360346552,Healthy
0.000201139,0.00174562,1.766489747,Healthy
-0.000189966,0.00168679,1.623744625,Healthy
0.000147276,0.001528598,1.719799703,Healthy
-0.000379672,0.001696961,1.683256904,Healthy
0.000185568,0.001608303,1.637761398,Healthy
8.6122E-05,0.001753592,1.656321826,Healthy
-0.000206075,0.001640593,1.583148258,Healthy
8.52515E-06,0.001489258,1.501336141,Healthy
7.3395E-05,0.001673636,1.708168658,Healthy
-0.000286928,0.001643109,1.531056871,Healthy
0.000100864,0.001524015,1.631252444,Healthy
-0.000113279,0.001537848,1.757520914,Healthy
0.000228753,0.001436152,1.626361021,Healthy
0.000295831,0.001557542,1.741593493,Healthy
0.000258918,0.001566336,1.840961225,Healthy
-0.000235479,0.00140543,1.622727184,Healthy
1.39786E-05,0.001464176,1.73836241,Healthy
-8.35342E-05,0.001458421,1.913571058,Healthy
0.000140831,0.001739025,1.450572498,Healthy
0.000325524,0.001673207,1.481391346,Healthy
9.02999E-05,0.00147303,1.609276287,Healthy
-0.000277811,0.001784738,1.572504878,Healthy
3.43819E-05,0.0016359,1.615976768,Healthy
-0.000347889,0.001661787,1.774815657,Healthy
3.83167E-06,0.001796567,1.452772308,Healthy
-7.90919E-05,0.001609408,1.956789966,Healthy
-0.000252674,0.001664218,1.51936669,Healthy
-5.00832E-05,0.001676044,1.4949762,Healthy
0.000135253,0.001555949,1.779556071,Healthy
-0.000260571,0.001850291,1.472745819,Healthy
3.1626E-05,0.001868496,1.512422655,Healthy
0.000212029,0.001633579,1.870361077,Healthy
-0.000138565,0.001594623,1.526786008,Healthy
3.74323E-05,0.001733209,1.571587191,Healthy
-5.15807E-05,0.001829044,1.40712465,Healthy
-0.000131043,0.00174576,1.655148028,Healthy
0.000151543,0.001885475,1.459353898,Healthy
-0.000119668,0.001641792,1.352784389,Healthy
-0.000343927,0.001548836,1.584117961,Healthy
-0.000285128,0.00183052,1.772669085,Healthy
-0.000457346,0.001751094,1.677106526,Healthy
-8.41004E-05,0.001392464,1.911593836,Healthy
-0.000133944,0.001634833,1.830240553,Healthy
-9.44527E-05,0.001612121,1.489717468,Healthy
-0.000199358,0.001579194,1.672142078,Healthy
0.000445438,0.001852445,1.800461447,Healthy
0.000347956,0.001694127,1.680607134,Healthy
-5.15826E-06,0.001793206,1.431485591,Healthy
-0.00021187,0.001729647,1.539624076,Healthy
-0.000153018,0.001969046,1.21534654,Healthy
6.36894E-05,0.002081952,1.370945607,Healthy
0.000454602,0.002427059,1.199935982,Healthy
8.311E-05,0.001933434,1.632600391,Healthy
5.08615E-05,0.002171728,1.360272959,Healthy
7.72053E-05,0.002244316,1.524736285,Healthy
-3.57401E-06,0.002225231,1.242711082,Healthy
0.000106935,0.002133287,1.491814572,Healthy
0.000344122,0.002002725,1.387834802,Healthy
-0.000542632,0.00181854,1.422437462,Healthy
-0.000306122,0.001859168,1.323267553,Healthy
-0.000227915,0.001980682,1.617881475,Healthy
2.98033E-05,0.001807558,1.41271213,Healthy
0.000103737,0.001697307,1.830303158,Healthy
0.000277109,0.001849658,1.559837122,Healthy
-0.000459735,0.001735244,1.443381288,Healthy
-0.000293918,0.001852254,1.445111117,Healthy
0.000216405,0.00181361,1.688152183,Healthy
0.000324446,0.001707769,1.401529113,Healthy
-0.000206343,0.001833,1.781365183,Healthy
8.6378E-05,0.001762535,1.396728402,Healthy
-0.000503709,0.001778197,1.547153187,Healthy
-6.66012E-05,0.002069338,1.581055535,Healthy
0.000352544,0.00167266,1.694418511,Healthy
4.79373E-05,0.001647954,1.801833594,Healthy
-0.000183264,0.001623416,1.598582534,Healthy
0.00021931,0.001749627,1.594277466,Healthy
0.000160489,0.001794913,1.444135955,Healthy
-0.000557146,0.001638131,1.584924575,Healthy
0.000154631,0.001886138,1.554867121,Healthy
0.00017919,0.001790586,1.3702564,Healthy
8.13768E-05,0.001747286,1.503714921,Healthy
-8.02796E-05,0.001804949,1.659562638,Healthy
-0.0002908,0.001807785,1.303295489,Healthy
0.000215902,0.00185712,1.626467559,Healthy
0.000629934,0.001939997,1.478783257,Healthy
5.85671E-05,0.002555973,1.002577018,Healthy
-0.000161691,0.002535243,0.986126457,Healthy
-0.00029681,0.002090207,1.228592793,Healthy
-2.90016E-05,0.002127066,1.403418548,Healthy
0.000766259,0.001940646,1.447429748,Healthy
5.04716E-05,0.001802825,1.492086142,Healthy
-0.000285383,0.001987479,1.372354269,Healthy
-0.000413331,0.001741236,1.524265495,Healthy
-0.000383497,0.001736199,1.508678832,Healthy
3.63786E-06,0.002081683,1.249765801,Healthy
-5.10176E-05,0.001718635,1.486229617,Healthy
0.000258923,0.001946998,1.512173067,Healthy
